away_team_id,away_team_name,away_team_gender,away_team_group
207,Valencia,male,
217,Barcelona,male,
220,Real Madrid,male,
215,Athletic Club,male,
208,Las Palmas,male,
322,Eibar,male,
218,Real Betis,male,
222,Villarreal,male,
221,Levante UD,male,
214,Espanyol,male,
205,Leganés,male,
209,Celta Vigo,male,
216,Getafe,male,
213,Sevilla,male,
223,Málaga,male,
212,Atlético Madrid,male,
211,Girona,male,
206,Deportivo Alavés,male,
210,Real Sociedad,male,
219,RC Deportivo La Coruña,male,
422,Osasuna,male,
1041,Sporting Gijón,male,
1049,Granada,male,
627,Tenerife,male,
395,Real Zaragoza,male,
1043,Mallorca,male,
901,Real Valladolid,male,
403,Almería,male,
1219,Xerez,male,
1217,Racing Santander,male,
1218,Hércules,male,
360,Rayo Vallecano,male,
373,Córdoba CF,male,
1042,Elche,male,
608,Albacete,male,
902,Huesca,male,
1220,Recreativo Huelva,male,
444,CD Numancia de Soria,male,
552,Cádiz,male,
488,Seattle Sounders,male,
230,Udinese,male,
241,Torino,male,
227,Napoli,male,
290,Empoli,male,
239,Fiorentina,male,
228,Atalanta,male,
240,Bologna,male,
234,Sampdoria,male,
243,AC Milan,male,
231,Chievo,male,
232,Sassuolo,male,
238,Inter Milan,male,
233,Genoa,male,
229,AS Roma,male,
236,Lazio,male,
224,Juventus,male,
1683,Carpi,male,
2256,Palermo,male,
291,Frosinone,male,
226,Hellas Verona,male,
7283,Kerala Blasters,male,
2021,Jamshedpur,male,
7289,Hyderabad,male,
7282,ATK Mohun Bagan,male,
7284,Bengaluru,male,
7291,Odisha,male,
7287,Mumbai City,male,
7288,Goa,male,
7290,Chennaiyin,male,
7286,East Bengal,male,
7285,NorthEast United,male,
17403,Soviet Union U20,male,
24,Liverpool,male,
39,Manchester United,male,
33,Chelsea,male,
169,Bayern Munich,male,
952,Panathinaikos,male,
256,FC Porto,male,
28,AFC Bournemouth,male,
41,Sunderland,male,
59,Aston Villa,male,
23,Watford,male,
36,Manchester City,male,
29,Everton,male,
56,Norwich City,male,
31,Crystal Palace,male,
38,Tottenham Hotspur,male,
22,Leicester City,male,
40,West Ham United,male,
27,West Bromwich Albion,male,
26,Swansea City,male,
1,Arsenal,male,
25,Southampton,male,
30,Stoke City,male,
37,Newcastle United,male,
46,Wolverhampton Wanderers,male,
75,Charlton Athletic,male,
54,Birmingham City,male,
105,Portsmouth,male,
55,Fulham,male,
98,Blackburn Rovers,male,
101,Leeds United,male,
47,Middlesbrough,male,
328,Bolton Wanderers,male,
174,VfB Stuttgart,male,
1076,Juventus,male,
968,Arsenal WFC,female,
971,Chelsea FCW,female,
974,Reading WFC,female,
972,West Ham United LFC,female,
969,Birmingham City WFC,female,
970,Yeovil Town LFC,female,
965,Brighton & Hove Albion WFC,female,
973,Bristol City WFC,female,
966,Liverpool WFC,female,
967,Everton LFC,female,
746,Manchester City WFC,female,
1475,Manchester United,female,
749,Tottenham Hotspur Women,female,
2647,Aston Villa,female,
773,Switzerland,male,G
792,Australia,male,
776,Denmark,male,D
786,Serbia,male,G
792,Australia,male,D
787,Senegal,male,A
779,Argentina,male,
791,South Korea,male,H
780,Portugal,male,
771,France,male,
794,Mexico,male,C
779,Argentina,male,C
3566,Qatar,male,A
773,Switzerland,male,
787,Senegal,male,
788,Morocco,male,
785,Croatia,male,
781,Brazil,male,
772,Spain,male,
791,South Korea,male,
789,Poland,male,
1839,United States,male,
783,Uruguay,male,H
770,Germany,male,E
795,Costa Rica,male,E
788,Morocco,male,F
778,Japan,male,E
907,Wales,male,B
3565,Ecuador,male,A
799,Saudi Arabia,male,C
4885,Ghana,male,H
782,Belgium,male,F
2722,Cameroon,male,G
941,Netherlands,male,A
1833,Canada,male,F
781,Brazil,male,G
1839,United States,male,B
785,Croatia,male,F
771,France,male,D
797,Iran,male,B
789,Poland,male,C
780,Portugal,male,H
768,England,male,B
772,Spain,male,E
777,Tunisia,male,D
790,Sweden,male,
794,Mexico,male,
