227,Ernesto Valverde Tejedor,Ernesto Valverde,1964-02-09
211,Marcelino García Toral,Marcelino,1965-08-14
371,Clarence Seedorf,,1976-04-01
56,Zinédine Zidane,,1972-06-23
210,José Ángel Ziganda Lacunza,Cuco Ziganda,1966-10-01
220,Francisco Jémez Martín,Paco Jémez,1970-04-18
221,José Luis Mendilibar Etxebarria,José Luis Mendilibar,1961-03-14
618,Francisco Martín Ayestarán Barandiarán,Pako Ayestarán,1963-02-05
238,Enrique Setién Solar,Quique Setién,1958-09-27
182,Javier Calleja Revilla,Javi Calleja,1978-05-12
2,Juan Ramón López Muñiz,Juan Muñiz,1968-11-02
620,Eder Sarabia Armesto,Eder Sarabia,1981-01-12
236,Enrique Sánchez Flores,Quique Sánchez Flores,1965-02-05
84,Asier Garitano Aguirrezábal,Asier Garitano,1969-12-06
208,Juan Carlos Unzué Labiano,Juan Carlos Unzué,1967-04-22
232,Vincenzo Montella,,1974-06-18
507,Juan Rubén Uría Corral,Rubén Uría,1968-01-30
228,José Bordalás Jiménez,Pepe Bordalás,1964-03-05
385,Manuel Eduardo Berizzo,Eduardo Berizzo,1969-11-13
505,José Miguel González Martín del Campo,Míchel,1963-03-23
234,Pablo Javier Machín Díez,Pablo Machín,1975-04-07
230,Diego Pablo Simeone,Diego Simeone,1970-04-28
187,Abelardo Fernández Antuña,Abelardo,1970-04-19
85,Imanol Alguacil Barrenetxea,Imanol Alguacil,1971-07-04
511,Luis Francisco Zubeldía,Luis Zubeldía,1981-01-13
235,Cristóbal Parralo Aguilera,Cristóbal Parralo,1967-08-21
229,Eusebio Sacristán Mena,Eusebio Sacristán,1964-04-13
637,Jorge Luis Sampaoli Moya,Jorge Sampaoli,1960-03-13
793,Luis Enrique Martínez García,Luis Enrique,1970-05-08
497,Joaquín de Jesús Caparrós Camino,Joaquín Caparrós,1955-10-15
681,Mauricio Pellegrino,,1971-10-05
125,Gustavo Augusto Poyet Domínguez,Gus Poyet,1967-11-15
3157,Víctor Sánchez del Amo,Víctor Sánchez,1976-02-23
509,Francisco Escriba Segura,Fran Escribá,1965-05-03
3199,Petar Vasiljević,,1970-11-03
4167,Salvador González Marco,Voro,1963-10-09
713,Claudio Cesare Prandelli,,1957-08-19
57,José Mel Pérez,Pepe Mel,1963-02-28
677,Joan Francesc Ferrer Sicilia,Rubí,1970-02-05
767,Gaizka Garitano Aguirre,Gaizka Garitano,1975-07-09
1612,Luis Lucas Alcaraz González,Lucas Alcaraz,1966-06-21
36,Josep Guardiola i Sala,Pep Guardiola,1971-01-18
1621,Manuel Enrique Jiménez Jiménez,Manolo Jiménez,1964-01-26
1606,José Luis Oltra Castañer,José Luis Oltra,1969-03-24
5044,Antonio Álvarez,,1955-04-10
4961,José Antonio Camacho Alfaro,José Camacho,1955-06-08
4201,Juan Carlos Garrido Fernández,Juan Garrido,1969-03-29
4519,Miguel Ángel Lotina Oruecheberría,Miguel Ángel Lotina,1957-06-18
4994,Gregorio Manzano Ballesteros,Gregorio Manzano,1956-03-11
4993,Javier Clemente Lazaro,Javier Clemente,1950-03-12
733,Manuel Luis Pellegrini Ripamonti,Manuel Pellegrini,1953-09-16
21,Unai Emery Etxegoien,Unai Emery,1971-11-03
4959,Manuel Preciado Rebolledo,Manuel Preciado,1957-08-28
4845,Juan Manuel Lillo Díez,Juanma Lillo,1965-11-03
2897,Néstor Raúl Gorosito,Néstor Gorosito,1964-05-14
4954,Miguel Ángel Portugal Vicario,Miguel Ángel Portugal,1955-11-28
81,Mauricio Roberto Pochettino Trossero,Mauricio Pochettino,1972-03-02
4982,Juan Carlos Mandiá Lorenzo,,1967-01-17
4988,Abel Resino Gómez,,1960-02-02
4958,José Aurelio Gay López,José Aurelio Gay,1965-12-10
383,José Mario Felix dos Santos Mourinho,José Mourinho,1963-01-26
4973,Esteban Vigo Benítez,Esteban Vigo,1955-01-17
5043,Martín Lasarte Arrospide,,1961-03-20
4991,Michael Laudrup,,1964-06-15
392,Luis García Plaza,Luis García,1972-12-01
3196,Javier Aguirre Onaindía,Javier Aguirre,1958-12-01
1598,Álvaro Cervera Díaz,Álvaro Cervera,1965-09-20
224,Philippe Jacques William Montanier,,1964-11-15
1617,José Ramón Sandoval Huertas,José Ramón Sandoval,1968-05-02
269,Marcelo Alberto Bielsa Caldera,Marcelo Bielsa,1955-07-21
486,Héctor Raúl Cúper,Héctor Cúper,1955-11-16
4974,Juan Ignacio Martínez Jiménez,Juan Ignacio Martínez,1964-06-23
5048,Fabriciano González Penelas,Fabri,1955-04-25
5050,José Francisco Molina Jiménez ,José Molina,1970-08-08
1001722,Francesc Vilanova i Bayo,Tito Vilanova,1969-09-17
163,Gerardo Daniel Martino,Gerardo Martino,1962-11-20
3503,Miroslav Đukić,,1966-02-19
4986,Bernd Schuster,,1959-12-22
1592,Jagoba Arrasate Elustondo,Jagoba Arrasate,1978-04-22
673,Francisco Javier Rodríguez Vílchez,Francisco ,1978-06-17
188,Javier Gracia Carlos,Javi Gracia,1970-05-01
414,Carlo Ancelotti,,1959-06-10
638,Juan Antonio Pizzi Torroja,Pizzi,1968-06-07
4182,Cosmin Marius Contra,Cosmin Contra,1975-12-15
6277,Pablo Franco Martín,Pablo Franco,1973-10-16
4995,José Antonio Romero Morilla,José Romero,1959-12-26
86,David Moyes,,1963-04-25
576,Sergio González Soriano,Sergio,1976-11-10
1602,Victor Fernández Braulio,Víctor Fernández,1960-11-28
396,Nuno Herlander Simões Espírito Santo,Nuno Espírito Santo,1974-01-25
745,Francisco Herrera Lorenzo,Paco Herrera,1953-12-02
1001036,Juan Eduardo Esnáider Belén,,1973-03-05
1816,Constantin Gâlcă,,1972-03-08
5049,Juan Merino Ruíz,Juan Merino,1970-08-24
1001017,Ricardo Miguel Moreira da Costa,Ricardo Costa,1981-05-16
226,José Manuel González López,José González,1966-10-14
