match_id,stadium_id
9880,342
9912,4658
9924,342
9855,342
9827,357
9799,347
9636,342
9609,342
9575,342
9928,342
9736,353
9742,342
9765,352
9661,345
9592,342
9870,342
9783,351
9700,342
9860,349
9695,344
9794,342
9717,361
9673,342
9650,342
9620,343
9837,342
9811,342
9642,4654
9774,342
9602,354
9948,342
9682,355
9581,348
9726,342
9754,5043
9889,653
266989,349
266357,4650
267569,353
267212,355
266669,342
266892,345
267220,342
267670,342
266516,352
267039,357
266477,361
267101,342
266440,342
266033,344
267660,4658
266273,348
267395,342
266874,342
266731,347
266528,342
266280,342
267432,342
267076,342
267590,346
267373,342
267077,351
266952,342
267464,625
266299,342
266191,5043
265952,342
267492,342
267596,342
267058,342
69243,342
69241,342
69239,349
69257,342
69253,342
69244,361
69277,4650
69229,354
69219,4655
69218,4658
69250,342
69242,342
69256,342
69298,4454
69259,353
69224,342
69210,622
69220,4656
69237,625
69226,4657
69252,344
69255,346
69214,342
69262,342
69240,342
69233,342
69213,351
69238,342
69267,4639
69288,4637
69254,4636
69292,342
69227,4457
69247,342
69221,342
69276,342
69304,361
69307,4650
69271,342
69305,342
69278,342
69275,351
69295,342
69270,354
69303,342
69245,353
69287,342
69296,4660
69260,342
69269,625
69246,5043
69302,342
69282,342
69274,344
69283,4454
69280,4658
69286,4636
69291,349
69236,342
69234,342
69272,350
69308,342
69299,342
69300,342
69289,342
69263,4457
69306,4657
69248,4656
69328,342
69329,342
70219,4457
69331,342
69337,625
69322,4636
69316,342
69332,342
69335,346
69330,4637
69297,342
69325,4454
69324,342
70225,342
69293,342
70223,344
69333,342
69264,5043
69343,342
69340,342
69265,4656
69319,352
69334,353
69327,342
69315,354
69336,4650
69326,349
69268,342
69320,342
69312,351
69314,342
69318,4667
69338,361
70220,342
70224,4640
70221,350
69323,342
266015,622
70270,342
70281,342
70308,342
70282,344
266724,4454
70272,353
70304,4658
70280,350
70296,342
70297,342
266433,342
70256,653
70259,342
70260,342
70263,342
70276,4640
70287,5043
70284,625
70275,349
70286,342
70309,342
70300,342
70295,352
70307,342
70305,342
266827,346
267502,4637
70271,342
70294,4667
70262,4650
70292,354
267368,342
70301,342
70298,344
70302,4640
70291,342
267138,4667
267520,342
70289,361
266066,342
267675,349
70288,350
266074,342
267567,342
266201,4665
266274,342
70293,342
265918,342
70277,342
70283,342
70306,351
266256,342
266613,342
266491,342
265830,625
265857,353
266883,352
266603,622
265837,5043
266462,4650
267192,653
266420,4657
267183,342
265835,342
266838,346
265963,342
266117,342
266916,342
267197,342
70264,354
70273,342
267301,342
265896,342
265866,4653
267400,342
266406,361
267085,353
267561,4640
266148,342
266045,342
70303,342
266240,5043
267597,342
266794,4665
267343,4667
266631,625
266320,342
266230,4658
266525,342
266560,344
266846,342
266531,351
266921,342
267499,4657
266741,342
266871,345
266967,347
266929,653
266770,350
266142,349
3825848,350
3825895,357
3825894,4658
3825855,346
3825908,351
3825883,346
3825900,4656
3825902,4640
3825876,352
3825846,4658
3825869,345
3825882,625
3825849,344
3825860,350
3825847,347
3825817,354
3825778,352
3825777,350
3825740,347
3825875,361
3825884,349
3825842,350
3825890,625
3825871,357
3825896,4667
3825841,5043
3825843,346
3825839,4656
3825838,345
3825840,344
3825837,352
3825836,4640
3825835,346
3825834,625
3825906,349
3825897,347
3825889,653
3825833,354
3825857,350
3825863,4658
3825829,345
3825830,361
3825832,4656
3825831,344
3825828,351
3825827,352
3825826,4667
3825825,350
3825824,347
3825823,349
3825905,346
3825822,357
3825821,351
3825820,353
3825819,344
3825818,5043
3825887,4667
3825907,4656
3825903,352
3825816,349
3825815,350
3825858,4640
3825813,625
3825814,653
3825812,346
3825811,351
3825807,344
3825809,352
3825810,5043
3825808,4656
3825804,4658
3825867,354
3825805,361
3825784,625
3825782,4667
3825757,353
3825641,345
3825803,4667
3825800,653
3825801,349
3825799,346
3825797,345
3825798,350
3825796,357
3825795,625
3825793,344
3825792,4658
3825794,361
3825788,354
3825791,352
3825790,4656
3825787,353
3825789,5043
3825786,347
3825781,4640
3825785,346
3825783,345
3825780,351
3825779,653
3825773,347
3825776,349
3825775,5043
3825769,361
3825770,353
3825768,4656
3825736,344
3825731,357
3825685,4656
3825678,347
3825643,353
3825642,4658
3825638,625
3825614,4667
3825612,354
3825607,361
3825595,361
3825579,349
3825572,353
3825774,354
3825772,344
3825771,4658
3825767,351
3825706,653
3825712,354
3825708,350
3825707,357
3825705,347
3825711,4640
3825703,345
3825700,353
3825701,346
3825702,5043
3825704,4667
3825891,351
3825699,352
3825697,344
3825698,4658
3825694,347
3825693,625
3825696,4640
3825695,361
3825689,653
3825690,357
3825692,349
3825691,350
3825688,354
3825687,351
3825683,5043
3825686,345
3825684,361
3825681,353
3825682,4667
3825680,4658
3825677,349
3825675,4640
3825676,354
3825674,625
3825673,357
3825671,653
3825672,346
3825670,350
3825669,354
3825668,4656
3825666,352
3825665,4667
3825667,361
3825664,5043
3825662,4658
3825888,344
3825663,351
3825659,345
3825658,625
3825660,342
3825661,349
3825656,350
3825657,346
3825652,357
3825623,344
3825626,352
3825616,346
3825608,347
3825601,4640
3825899,354
3825852,357
3825647,344
3825637,342
3825628,354
3825619,350
3825618,357
3825611,4658
3825609,5043
3825598,625
3825584,4667
3825570,4667
3825562,346
3825904,347
3825901,353
3825898,653
3825893,353
3825892,4667
3825886,4640
3825885,4640
3825881,4667
3825880,4658
3825879,357
3825878,625
3825877,345
3825874,349
3825873,344
3825872,625
3825870,345
3825868,653
3825866,357
3825865,354
3825864,5043
3825862,351
3825861,5043
3825859,4667
3825856,353
3825854,4656
3825853,349
3825851,361
3825850,653
3825845,351
3825844,345
3825806,353
3825802,351
3825679,352
3825655,4640
3825654,653
3825653,347
3825651,351
3825650,352
3825649,4656
3825648,347
3825765,653
3825766,352
3825764,4667
3825760,625
3825763,4640
3825761,345
3825762,4656
3825759,346
3825758,4658
3825756,349
3825755,344
3825754,357
3825750,5043
3825752,347
3825751,354
3825753,361
3825749,350
3825747,345
3825748,625
3825745,4658
3825746,352
3825743,4640
3825744,351
3825742,4667
3825741,4656
3825739,353
3825738,357
3825737,354
3825734,5043
3825733,349
3825732,653
3825735,361
3825729,361
3825728,653
3825730,5043
3825727,347
3825723,350
3825726,349
3825725,354
3825724,353
3825722,4656
3825716,4640
3825719,345
3825720,352
3825717,4667
3825721,4658
3825718,344
3825715,346
3825714,625
3825713,361
3825710,353
3825709,349
3825646,361
3825645,354
3825644,5043
3825640,350
3825639,357
3825636,346
3825635,653
3825634,4667
3825633,4640
3825632,4656
3825631,5043
3825630,4658
3825629,361
3825627,342
3825625,353
3825624,347
3825622,345
3825621,625
3825620,4640
3825617,349
3825615,351
3825613,653
3825610,4656
3825606,353
3825605,349
3825604,344
3825603,352
3825602,345
3825600,346
3825599,351
3825597,357
3825596,4658
3825594,349
3825593,347
3825592,5043
3825591,344
3825590,353
3825589,354
3825588,4640
3825587,345
3825586,346
3825585,653
3825583,4656
3825582,352
3825581,351
3825580,350
3825578,347
3825577,354
3825576,344
3825575,357
3825574,653
3825573,5043
3825571,361
3825569,350
3825568,352
3825567,4656
3825566,4640
3825565,351
3825564,4658
3825563,625
266498,342
266986,352
267533,342
266310,4658
267576,342
266653,4640
265944,342
265894,346
265958,342
267611,342
267422,342
266236,345
267274,344
266961,342
266885,342
266815,4656
267506,4667
266664,5043
266106,361
266670,351
266149,342
266620,342
266056,347
267327,342
266166,625
266160,350
265839,342
266424,353
266467,653
267273,357
266490,342
266254,342
266557,342
3888713,353
68314,342
68313,342
68316,342
68315,342
69153,4448
68352,342
68353,4635
69164,342
68324,342
68320,361
68323,342
69172,342
68339,354
68348,4635
68354,342
68351,4457
68317,342
68350,342
68325,4454
68321,342
68319,353
68342,342
68322,4662
68318,342
69176,625
69179,4457
68334,349
68333,342
68336,4455
68326,653
69162,342
68335,342
68332,344
68330,353
68329,342
68341,4638
69165,342
69155,361
69154,342
69156,342
69159,342
69175,342
69160,5043
68331,342
68328,342
68340,4636
69174,4658
68347,4637
68327,342
69157,342
15978,5043
15998,355
16029,342
16073,4654
16086,351
16190,349
16109,342
16120,354
16182,342
16215,352
16173,345
16265,342
15946,342
16157,342
16136,342
16248,342
16056,342
16289,342
16079,342
16149,343
16275,348
15973,342
16317,347
16131,342
16205,342
16095,350
16306,342
16010,342
15986,342
16240,361
16023,344
16196,353
15956,622
16231,342
69151,350
69144,342
69169,342
68360,342
69186,52894
69180,4636
69143,342
69181,4637
68365,625
69178,354
68364,361
69170,342
68359,342
68356,4635
69158,342
69187,342
68363,622
69166,342
68366,342
69148,342
69184,342
69173,342
69146,349
69182,4457
68358,4638
68361,353
69141,342
69145,344
69225,342
69212,342
69235,346
69232,342
69216,342
69209,4636
69231,342
69217,342
69273,622
69222,342
69223,354
69195,352
69251,344
69185,625
69142,342
69139,342
69189,342
69171,349
69249,353
69215,342
69138,4656
69147,4652
69177,4657
69207,342
69228,361
69183,342
69279,342
69285,4638
69211,4635
69230,4650
69149,342
303731,342
303532,342
303516,653
303596,342
303430,342
303725,361
303504,350
303451,342
303664,5043
303682,342
303400,344
303634,342
303421,348
303493,342
303680,622
303479,342
303615,342
303696,342
303487,342
303600,342
303548,4454
303652,351
303674,349
303470,353
303700,347
303707,352
303666,4667
303715,355
303377,342
303524,4654
303517,342
303610,342
303473,342
3773386,348
3773565,4667
3773457,342
3773631,352
3773665,4650
3773497,5341
3773660,342
3773593,342
3773466,653
3773585,342
3773552,624
3773672,342
3773587,354
3773656,4654
3773377,342
3773586,342
3773372,342
3773387,350
3773695,344
3773369,342
3773661,342
3773597,5043
3773523,342
3773571,622
3773428,4662
3764661,345
3773526,342
3773474,342
3773625,349
3773403,342
3773547,342
3773415,342
3764440,342
3773689,361
3773477,342
3750234,241
3879863,4954
3879773,1001324
3879847,385
3879862,390
3879817,388
3879825,381
3879750,4954
3879567,381
3879785,381
3879705,383
3879628,388
3879665,1001324
3879699,387
3879703,381
3879609,117450
3879653,391
3879632,381
3879663,4488
3879645,380
3879579,4983
3879566,385
3879587,380
3879556,1001324
3879585,388
3879582,381
3879564,4983
3879562,388
3879837,388
3879838,387
3879839,386
3879840,380
3879836,388
3879833,391
3879828,381
3879832,4983
3879830,387
3879792,387
3879795,4488
3879794,4954
3879788,621
3879787,381
3879786,4983
3879784,387
3879783,385
3879782,1001068
3879781,4488
3879780,386
3879779,388
3879778,621
3879777,391
3879774,388
3879776,380
3879771,383
3879772,390
3879756,117450
3879754,390
3879748,4488
3879749,388
3879747,380
3879742,388
3879746,386
3879744,387
3879745,4983
3879743,385
3879739,391
3879741,4488
3879740,621
3879738,1001068
3879737,381
3879732,390
3879707,381
3879702,4488
3879704,388
3879701,391
3879700,4983
3879706,386
3878559,4954
3879636,383
3879627,390
3879626,388
3879625,385
3879624,381
3879623,386
3879622,1001068
3879621,4954
3879620,4488
3878611,4488
3878610,4954
3878608,380
3878607,381
3878606,390
3878605,1001068
3879876,387
3879875,4983
3879874,381
3879873,621
3879872,4488
3879871,385
3879870,391
3879869,388
3879868,383
3879867,117450
3879866,381
3879865,387
3879864,4488
3879861,1001324
3879860,386
3879859,1001068
3879858,380
3879857,388
3879856,387
3879855,117450
3879854,383
3879853,381
3879852,4983
3879851,388
3879850,391
3879849,621
3879848,4488
3879846,4488
3879845,381
3879844,1001068
3879843,390
3879842,4954
3879841,1001324
3879835,4488
3879834,385
3879831,383
3879829,621
3879827,117450
3879826,4488
3879824,387
3879823,4954
3879822,385
3879821,386
3879820,391
3879819,1001068
3879818,380
3879816,381
3879815,390
3879814,621
3879813,387
3879812,4983
3879811,117450
3879810,388
3879809,383
3879808,1001324
3879807,4488
3879806,380
3879805,4954
