match_id,match_date,kick_off,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week
9880,2018-04-14,16:15:00.000,2,1,available,scheduled,2023-02-08T17:23:53.901920,2021-06-13T16:17:31.694,32
9912,2018-04-29,20:45:00.000,2,4,available,scheduled,2022-12-05T14:42:44.641092,2021-06-13T16:17:31.694,35
9924,2018-05-06,20:45:00.000,2,2,available,scheduled,2022-12-01T03:25:12.063586,2021-06-13T16:17:31.694,36
9855,2018-03-18,16:15:00.000,2,0,available,scheduled,2022-12-01T02:33:31.178193,2021-06-13T16:17:31.694,29
9827,2018-03-01,21:00:00.000,1,1,available,scheduled,2022-08-04T17:18:06.540844,2021-06-13T16:17:31.694,26
9799,2018-02-17,16:15:00.000,0,2,available,scheduled,2022-12-01T01:41:38.350571,2021-06-13T16:17:31.694,24
9636,2017-10-01,16:15:00.000,3,0,available,scheduled,2022-02-04T22:31:59.619211,2021-06-13T16:17:31.694,7
9609,2017-09-19,22:00:00.000,6,1,available,scheduled,2022-02-04T14:40:31.817331,2021-06-13T16:17:31.694,5
9575,2017-08-20,20:15:00.000,2,0,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,1
9928,2018-05-09,20:00:00.000,5,1,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,34
9736,2017-12-23,13:00:00.000,0,3,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,17
9742,2018-01-07,16:15:00.000,3,0,available,scheduled,2022-06-18T19:26:24.300460,2021-06-13T16:17:31.694,18
9765,2018-01-21,20:45:00.000,0,5,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,20
9661,2017-10-28,20:45:00.000,0,2,available,scheduled,2022-02-10T21:47:49.678101,2021-06-13T16:17:31.694,10
9592,2017-09-09,20:45:00.000,5,0,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,3
9870,2018-04-07,20:45:00.000,3,1,available,scheduled,2023-02-28T07:25:15.903248,2021-06-13T16:17:31.694,31
9783,2018-02-04,16:15:00.000,1,1,available,scheduled,2022-12-01T01:27:40.607637,2021-06-13T16:17:31.694,22
9700,2017-12-02,13:00:00.000,2,2,available,scheduled,2022-12-01T00:56:01.522299,2021-06-13T16:17:31.694,14
9860,2018-03-31,20:45:00.000,2,2,available,scheduled,2022-12-01T02:37:52.910806,2021-06-13T16:17:31.694,30
9695,2017-11-26,20:45:00.000,1,1,available,scheduled,2022-02-10T22:24:55.514083,2021-06-13T16:17:31.694,13
9794,2018-02-11,16:15:00.000,0,0,available,scheduled,2022-12-01T01:37:21.292561,2021-06-13T16:17:31.694,23
9717,2017-12-10,20:45:00.000,0,2,available,scheduled,2022-03-30T23:12:28.894213,2021-06-13T16:17:31.694,15
9673,2017-11-04,20:45:00.000,2,1,available,scheduled,2022-05-08T17:33:48.241122,2021-06-13T16:17:31.694,11
9650,2017-10-21,20:45:00.000,2,0,available,scheduled,2022-02-10T20:56:01.885373,2021-06-13T16:17:31.694,9
9620,2017-09-23,20:45:00.000,0,3,available,scheduled,2022-03-30T20:28:12.616241,2021-06-13T16:17:31.694,6
9837,2018-03-04,16:15:00.000,1,0,available,scheduled,2022-12-01T02:14:30.480502,2021-06-13T16:17:31.694,27
9811,2018-02-24,20:45:00.000,6,1,available,scheduled,2022-12-01T01:52:10.346111,2021-06-13T16:17:31.694,25
9642,2017-10-14,20:45:00.000,1,1,available,scheduled,2022-02-04T22:48:33.627118,2021-06-13T16:17:31.694,8
9774,2018-01-28,20:45:00.000,2,1,available,scheduled,2022-12-01T01:18:40.194063,2021-06-13T16:17:31.694,21
9602,2017-09-16,16:15:00.000,1,2,available,scheduled,2022-02-04T13:57:30.602817,2021-06-13T16:17:31.694,4
9948,2018-05-20,20:45:00.000,1,0,available,scheduled,2022-12-05T14:51:46.221392,2021-06-13T16:17:31.694,38
