season_id,season_name
1,2017/2018
2,2016/2017
21,2009/2010
22,2010/2011
23,2011/2012
24,2012/2013
25,2013/2014
26,2014/2015
27,2015/2016
278,1973/1974
37,2004/2005
38,2005/2006
39,2006/2007
4,2018/2019
40,2007/2008
41,2008/2009
42,2019/2020
90,2020/2021
68,1977
86,1986/1987
108,2021/2022
274,1979
276,1970/1971
277,1972/1973
44,2003/2004
71,1971/1972
75,1988/1989
106,2022
269,1958
270,1962
272,1970
3,2018
51,1974
54,1986
55,1990
43,2020
107,2023
30,2019
275,1981
48,1997/1998
268,1982/1983
279,1977/1978
84,1983/1984
