342,Spotify Camp Nou
4658,Estadio Abanca-Riazor
357,Estadio de Gran Canaria
347,Estadio Municipal de Ipurúa
353,Estadio Santiago Bernabéu
352,Estadio Benito Villamarín
345,San Mamés Barria
351,RCDE Stadium
349,Estadio Ramón Sánchez Pizjuán
344,Estadio de Mestalla
361,Estadio de la Cerámica
343,Estadi Municipal de Montilivi
4654,	Estádio Cívitas Metropolitano
354,Coliseum Alfonso Pérez
355,Estadio Municipal de Butarque
348,Estadio de Mendizorroza
5043,Reale Arena
653,Abanca-Balaídos
4650,Estadio El Sadar
346,Estadio La Rosaleda
625,Estadio Vicente Calderón
4655,Estadio Heliodoro Rodríguez Lopéz
4454,Estadi Mallorca Son Moix
622,Estadio Municipal José Zorrilla
4656,Estadio Municipal El Molinón
4657,Power Horse Stadium – Estadio de los Juegos Mediterráneos
4639,Estadio Municipal de Chapín
4637,Estadio San Mamés
4636,Campos de Sport de El Sardinero
4457,Estadio de la Romareda
4660,Estadio José Rico Pérez
350,Estadio Ciudad de Valencia
4667,Estadio Nuevo Los Cármenes
4640,Estadio de Vallecas
4665,Estadio Manuel Martínez Valero
4653,Estadio Nuevo Arcángel
4448,Estadio Carlos Belmonte
4635,Estadi Olímpic Lluís Companys
4662,Estadio Nuevo Mirandilla
4455,Nou Estadi Costa Daurada
4638,Estadio Nuevo Colombino
52894,	Estadio Enrique Roca de Murcia
4652,Los Pajaritos
5341,Estadio Alfredo Di Stéfano
624,Estadio El Alcoraz
241,Providence Park
4954,Gewiss Stadium
1001324,Stadio Comunale Matusa
385,Dacia Arena
390,Stadio Olimpico Grande Torino
388,Stadio Giuseppe Meazza    
381,Estadio Olímpico
383,MAPEI Stadium - Città del Tricolore
387,Stadio Comunale Luigi Ferraris
117450,Stadio Diego Armando Maradona
391,Allianz Stadium    	
4488,Stadio Marc''Antonio Bentegodi
380,Stadio Renato Dall''Ara
4983,Stadio Renzo Barbera
386,Stadio Artemio Franchi    	
621,Stadio Carlo Castellani
1001068,Stadio Alberto Braglia (Modena)
1000400,Pandit Jawaharlal Nehru Stadium
1000401,Tilak Maidan Stadium
5810,GMC Athletic Stadium
1000767,Japan National Stadium (Tōkyō (Tokyo))
4222,NSK Olimpiyskyi
113891,Principality Stadium
4666,Wembley Stadium
4867,Allianz Arena
611,Estádio do Sport Lisboa e Benfica
